Color ID	Color Name	RGB	Type	Parts	In Sets	Wanted	For Sale	Year From	Year To
78	Pearl Sand Blue	868FAA	Pearl	44	23	392	47	2002	2005
243	Pearl Sand Purple	B5A1BA	Pearl			22			
119	Pearl Very Light Gray	D4D2CD	Pearl	21	16	452	45	2002	2004
83	Pearl White	FFFFFF	Pearl	3	6	437	15	2003	2006
249	Reddish Copper	D06926	Pearl	21	20	50	24	2017	2020
235	Reddish Gold	E7891B	Pearl	28	28	180	27	2003	2005
233	Satin Trans-Bright Green	7fe15b	Satin	6	7	115	6	2021	2023
229	Satin Trans-Brown	939484	Satin	7	12	121	7	2020	2023
228	Satin Trans-Clear	FFFFFF	Satin	17	58	189	20	2020	2023
232	Satin Trans-Dark Blue	1552e2	Satin	10	22	135	13	2021	2023
224	Satin Trans-Dark Pink	CE1d9b	Satin	12	25	113	12	2020	2023
223	Satin Trans-Light Blue	68BCC5	Satin	46	82	197	49	2020	2023
230	Satin Trans-Purple	8320B7	Satin	17	15	130	17	2020	2023
250	Metallic Copper	C58259	Metallic	6	14	184	9	2007	2012
65	Metallic Gold	B8860B	Metallic	109	309	1264	192	1997	2023
70	Metallic Green	bdb573	Metallic	31	9	431	37	2001	2003
67	Metallic Silver	C0C0C0	Metallic	206	733	2212	279	1957	2023
46	Glow In Dark Opaque	d4d5c9	Milky	55	88	525	103	1990	2011
118	Glow In Dark Trans	bdc6ad	Milky	16	22	334	18	2005	2011
159	Glow In Dark White	d9d9d9	Milky	80	94	756	91	2011	2023
60	Milky White	d4d3dd	Milky	26	144	531	55	1963	2008
101	Glitter Trans-Clear	b2adaa	Glitter	17	34	179	21	1999	2023
100	Glitter Trans-Dark Pink	CE1d9b	Glitter	12	39	156	16	1999	2022
162	Glitter Trans-Light Blue	68BCC5	Glitter	16	26	168	21	2015	2023
163	Glitter Trans-Neon Green	C0F500	Glitter	1	8	143	1	2015	2018
222	Glitter Trans-Orange	D04010	Glitter	1	1	121	1	2020	2020
102	Glitter Trans-Purple	3A2B82	Glitter	10	57	173	13	2000	2023
116	Speckle Black-Copper	5F4E47	Speckle	5	3	174	5	2006	2006
151	Speckle Black-Gold	AB9421	Speckle	2	4	218	6	2010	2011
111	Speckle Black-Silver	7C7E7C	Speckle	15	49	297	19	2005	2013
117	Speckle DBGray-Silver	4A6363	Speckle	5	7	238	8	2006	2006
142	Mx Aqua Green	27867E	Modulex			27	11		
128	Mx Black	000000	Modulex			304	237		
132	Mx Brown	907450	Modulex			34	28		
133	Mx Buff	DEC69C	Modulex			37	33		
126	Mx Charcoal Gray	595D60	Modulex			15	10		
149	Mx Clear	FFFFFF	Modulex			53	36		
214	Mx Foil Dark Blue	0057A6	Modulex			3	1		
210	Mx Foil Dark Gray	595D60	Modulex			3	1		
212	Mx Foil Dark Green	006400	Modulex			2	1		
215	Mx Foil Light Blue	68AECE	Modulex			2	1		
211	Mx Foil Light Gray	9C9C9C	Modulex			4			
213	Mx Foil Light Green	7DB538	Modulex			3	1		
219	Mx Foil Orange	F7AD63	Modulex			3	1		
217	Mx Foil Red	8B0000	Modulex			3	1		
216	Mx Foil Violet	4B0082	Modulex			2			
218	Mx Foil Yellow	FED557	Modulex			2			
139	Mx Lemon	BDC618	Modulex			16	25		
124	Mx Light Bluish Gray	AfB5C7	Modulex			25	4		
125	Mx Light Gray	9C9C9C	Modulex			60	62		
136	Mx Light Orange	F7AD63	Modulex			15	8		
137	Mx Light Yellow	FFE371	Modulex			19	15		
144	Mx Medium Blue	61AFFF	Modulex			20	10		
138	Mx Ochre Yellow	FED557	Modulex			18	16		
140	Mx Olive Green	7C9051	Modulex			20	22		
135	Mx Orange	F47B30	Modulex			19	26		
145	Mx Pastel Blue	68AECE	Modulex			24	24		
141	Mx Pastel Green	7DB538	Modulex			27	30		
148	Mx Pink	F785B1	Modulex			13	21		
130	Mx Pink Red	F45C40	Modulex			16	8		
129	Mx Red	B52C20	Modulex			24	32		
146	Mx Teal Blue	467083	Modulex			15	13		
134	Mx Terracotta	5C5030	Modulex			25	30		
143	Mx Tile Blue	0057A6	Modulex			86	55		
131	Mx Tile Brown	330000	Modulex			216	1		
127	Mx Tile Gray	6B5A5A	Modulex			229	2		
147	Mx Violet	BD7D85	Modulex			21	10		
123	Mx White	FFFFFF	Modulex			621	495		
